Pricing Option,Call Point,PPG - Item,Promo Description Notes,Promo Description,Custom Pricing Approval Status,Weeks,Price Book Weeks,Weekly Volume (cases per store),Total Cases Budgeted,▼▼▼ RETAILER ▼▼▼,Suggested Retail Price,Suggested Retail Price [Price Book],Retailer Revenue,Net Unit Cost (after scans),Retailer Total COGS,Retailer Margin $,Retailer Margin %,▼▼▼ DISTRIBUTOR ▼▼▼,Net Revenue,Case Cost,Distributor Total COGS,Distributor Gross Margin $,Distributor Gross Margin %,▼▼▼ TALKING RAIN ▼▼▼,TR Revenue,Discount (per case),TR Share of Discount,Scan Back $ (per case),Discount (per case) [Price Book],TR Share of Discount [Price Book],Scan Back $ (per case) [Price Book],Overall TR Discount,TR Net Revenue,TR Total COGS,TR Gross Margin $,TR Gross Margin %
Price 1,Deca HI DSD,SI 12/17oz Loose,,$1.25,,52 wks,,30 cs/store,"6,240 cs",,,$ 1.25,"$ 93,600",$ 14.28,"$ 89,107","$ 4,493",4.80%,,"$ 94,723",$ 11.18,"$ 69,763","$ 24,960",28.01%,,"$ 69,763",,,,$ 2.40,$ 0.9,$ 0,$ 0.90,"$ 64,147","$ 28,642","$ 35,506",50.89%
Price 1,Dierbergs,SI 12/17oz Loose,,$1.59,,,20 wks,17 cs/store,"9,180 cs",,,$ 1.59,"$ 175,154",$ 12.84,"$ 117,871","$ 57,283",32.70%,,"$ 117,871",$ 9.00,"$ 82,620","$ 35,251",29.91%,,"$ 82,620",,,,$ 0,$ 0,$ 0,$ 0,"$ 82,620","$ 42,136","$ 40,484",49.00%
Price 2,Dierbergs,SI 12/17oz Loose,,$1.25,,,20 wks,33 cs/store,"17,820 cs",,,$ 1.25,"$ 267,300",$ 10.20,"$ 181,764","$ 85,536",32.00%,,"$ 209,385",$ 9.00,"$ 160,380","$ 49,005",26.96%,,"$ 160,380",,,,$ 2.64,$ 1.55,$ 0,$ 1.55,"$ 132,759","$ 81,794","$ 50,965",31.78%
Price 3,Dierbergs,SI 12/17oz Loose,,$1.00,,,12 wks,53 cs/store,"17,172 cs",,,$ 1.00,"$ 206,064",$ 9.24,"$ 158,669","$ 47,395",23.00%,,"$ 197,306",$ 9.00,"$ 154,548","$ 42,758",26.95%,,"$ 154,548",,,,$ 3.60,$ 2.25,$ 0,$ 2.25,"$ 115,911","$ 78,819","$ 37,092",24.00%
Price 1,Discount Drug Mart,SI 12/17oz Loose,,$1.59,,,20 wks,1 cs/store,"1,560 cs",,,$ 1.59,"$ 29,765",$ 12.84,"$ 20,030","$ 9,734",32.70%,,"$ 20,030",$ 9.00,"$ 14,040","$ 5,990",29.91%,,"$ 14,040",,,,$ 0,$ 0,$ 0,$ 0,"$ 14,040","$ 7,160","$ 6,880",49.00%
Price 2,Discount Drug Mart,SI 12/17oz Loose,,$1.25,,,20 wks,3 cs/store,"4,680 cs",,,$ 1.25,"$ 70,200",$ 10.20,"$ 47,736","$ 22,464",32.00%,,"$ 54,990",$ 9.00,"$ 42,120","$ 12,870",26.96%,,"$ 42,120",,,,$ 2.64,$ 1.55,$ 0,$ 1.55,"$ 34,866","$ 21,481","$ 13,385",31.78%
Price 3,Discount Drug Mart,SI 12/17oz Loose,,$1.00,,,12 wks,8 cs/store,"7,488 cs",,,$ 1.00,"$ 89,856",$ 9.24,"$ 69,189","$ 20,667",23.00%,,"$ 86,037",$ 9.00,"$ 67,392","$ 18,645",26.95%,,"$ 67,392",,,,$ 3.60,$ 2.25,$ 0,$ 2.25,"$ 50,544","$ 34,370","$ 16,174",24.00%
Price 1,Dollar General,SI 12/17oz Loose,,$1.15,,,52 wks,0.977 cs/store,"1,016,038 cs",,,$ 1.15,"$ 14,021,330",$ 8.64,"$ 8,778,572","$ 5,242,758",37.39%,,,,,,,,"$ 8,778,572",,,,$ 0,$ 0,$ 0.36,$ 0.36,"$ 8,412,798","$ 4,663,616","$ 3,749,182",41.00%
Price 1,Dollar Tree Stores Inc,SI 12/17oz Loose,,$1.25,,,52 wks,1.596 cs/store,"622,335 cs",,,$ 1.25,"$ 9,335,021",$ 8.70,"$ 5,414,312","$ 3,920,709",42.00%,,,,,,,,"$ 5,414,312",,,,$ 0,$ 0,$ 0,$ 0,"$ 5,414,312","$ 2,856,516","$ 2,557,796",47.24%
Price 1,Dorothy Lane Market,SI 12/17oz Loose,,$1.59,,,24 wks,6 cs/store,432 cs,,,$ 1.59,"$ 8,243",$ 12.84,"$ 5,547","$ 2,696",32.70%,,"$ 5,547",$ 9.00,"$ 3,888","$ 1,659",29.91%,,"$ 3,888",,,,$ 0,$ 0,$ 0,$ 0,"$ 3,888","$ 1,983","$ 1,905",49.00%
Price 2,Dorothy Lane Market,SI 12/17oz Loose,,$1.25,,,16 wks,14 cs/store,672 cs,,,$ 1.25,"$ 10,080",$ 10.20,"$ 6,854","$ 3,226",32.00%,,"$ 7,896",$ 9.00,"$ 6,048","$ 1,848",26.96%,,"$ 6,048",,,,$ 2.64,$ 1.55,$ 0,$ 1.55,"$ 5,006","$ 3,084","$ 1,922",31.78%
